ticket_id,subject,message,priority
TKT-0039,Sicherheitsvorfall in Dateiserver,Es besteht der Verdacht auf einen Sicherheitsvorfall in Dateiserver. Ungewöhnliche Aktivitäten wurden erkannt; bitte sofort prüfen und priorisiert behandeln.,niedrig
TKT-0134,Später umsetzen: Export nach Excel in SAP,"Die Anpassung Export nach Excel in SAP wäre hilfreich, ist aber klar für später vorgesehen. Es gibt keine Blockade und keinen Zeitdruck.",hoch
TKT-0070,Verdacht auf Datenverlust in E-Mail,"In E-Mail fehlen seit 45 Minuten Datensätze. Es besteht der Verdacht auf Datenverlust, wodurch Vertrieb wichtige Informationen nicht mehr abrufen kann.",hoch
TKT-0192,Wunsch: Dark Mode in Citrix,"Für Produktion besteht der Wunsch, in Citrix Dark Mode einzurichten. Das ist eine reine Erweiterung ohne Auswirkung auf den laufenden Betrieb.",niedrig
TKT-0018,Produktionsstillstand wegen Problemen mit Intranet,"Durch Probleme mit Intranet besteht Produktionsstillstand. Der Prozess Anmeldung steht, und im Standort München können keine Vorgänge mehr bearbeitet werden.",hoch
TKT-0055,Störung bei WLAN im Außendienst,Wir haben eine anhaltende Störung in WLAN. Seit Schichtbeginn kommt es zu Timeouts; der Ablauf in Support ist stark eingeschränkt.,hoch
TKT-0152,Wunsch: Dashboard-Filter in Monitoring,"Für Management besteht der Wunsch, in Monitoring Dashboard-Filter einzurichten. Das ist eine reine Erweiterung ohne Auswirkung auf den laufenden Betrieb.",niedrig
TKT-0136,Verbesserung für Netzlaufwerk,"Es handelt sich um eine Verbesserung an Netzlaufwerk. Der aktuelle Prozess funktioniert, wir möchten ihn lediglich etwas benutzerfreundlicher gestalten.",niedrig
TKT-0038,Produktionsstillstand wegen Problemen mit Microsoft Teams,"Durch Probleme mit Microsoft Teams besteht Produktionsstillstand. Der Prozess Datenexport steht, und im Außendienst können keine Vorgänge mehr bearbeitet werden.",hoch
TKT-0056,ERP ist für Logistik nicht verfügbar,ERP ist seit 20 Minuten nicht verfügbar. Logistik kann sich nicht anmelden und Schichtplanung nicht ausführen.,hoch
TKT-0083,Sofort prüfen: SAP verhindert Schichtplanung,Bitte sofort eingreifen. SAP verhindert aktuell Schichtplanung; die Mitarbeitenden aus HR melden durchgehend Fehlermeldungen und können ihre Arbeit nicht fortsetzen.,hoch
TKT-0161,Anfrage zu Monitoring,Ich habe eine Anfrage zu Monitoring. Es geht um das Thema Druckereinstellung. Das Ticket ist nicht dringend und kann bei Gelegenheit bearbeitet werden.,niedrig
TKT-0034,Ausfall von CRM im Head Office,"Es liegt ein kompletter Ausfall von CRM vor. Seit 2 Stunden ist der Dienst im Head Office nicht erreichbar, wodurch Anmeldung nicht mehr möglich ist.",hoch
TKT-0097,Blockiert: Zugriff auf VPN für Finanzen,Mehrere Konten sind blockiert und der Zugriff auf VPN ist nicht möglich. Finanzen ist dadurch vollständig blockiert.,hoch
TKT-0015,Störung bei SAP im Standort Berlin,Wir haben eine anhaltende Störung in SAP. Seit Schichtbeginn kommt es zu Authentifizierungsfehler; der Ablauf in Logistik ist stark eingeschränkt.,hoch
TKT-0029,Sicherheitsvorfall in Monitoring,Es besteht der Verdacht auf einen Sicherheitsvorfall in Monitoring. Ungewöhnliche Aktivitäten wurden erkannt; bitte sofort prüfen und priorisiert behandeln.,hoch
TKT-0106,Verbesserung für Drucker,"Es handelt sich um eine Verbesserung an Drucker. Der aktuelle Prozess funktioniert, wir möchten ihn lediglich etwas benutzerfreundlicher gestalten.",niedrig
TKT-0079,Sicherheitsvorfall in Monitoring,Es besteht der Verdacht auf einen Sicherheitsvorfall in Monitoring. Ungewöhnliche Aktivitäten wurden erkannt; bitte sofort prüfen und priorisiert behandeln.,hoch
TKT-0175,Optional: Dark Mode für Drucker,"Die Funktion Dark Mode wäre optional für Einkauf. Falls Kapazität vorhanden ist, kann das Thema aufgenommen werden; andernfalls auch zu einem späteren Zeitpunkt.",niedrig
TKT-0041,Kritisch: Citrix verursacht massive Probleme in Management,Der Vorfall ist kritisch. In Citrix treten Zugriffsprobleme auf und mehrere Nutzer aus Management können Rechnungsstellung nicht mehr ausführen. Der Betrieb im Produktivbetrieb ist deutlich beeinträchtigt.,hoch
TKT-0103,Information zu Mobilzugriff in Intranet,Wir benötigen lediglich eine Information zu Mobilzugriff in Intranet. Es liegt keine Störung vor; die Bearbeitung kann später erfolgen.,niedrig
TKT-0093,Sofort prüfen: Ticketsystem verhindert Datenexport,Bitte sofort eingreifen. Ticketsystem verhindert aktuell Datenexport; die Mitarbeitenden aus Vertrieb melden durchgehend Fehlermeldungen und können ihre Arbeit nicht fortsetzen.,hoch
TKT-0187,Optimierung von VPN,Dieses Ticket betrifft eine Optimierung von VPN im Bereich Aufbewahrungsfristen. Das Thema ist nachrangig und nicht kritisch.,niedrig
TKT-0172,Wunsch: Dashboard-Filter in Netzlaufwerk,"Für Support besteht der Wunsch, in Netzlaufwerk Dashboard-Filter einzurichten. Das ist eine reine Erweiterung ohne Auswirkung auf den laufenden Betrieb.",niedrig
TKT-0190,Nachrangig: Rückfrage zu CRM,Das Anliegen ist ausdrücklich nachrangig. Zu CRM gibt es eine Rückfrage zu Mobilzugriff; Bearbeitung im normalen Backlog ist ausreichend.,niedrig
TKT-0016,Monitoring ist für Vertrieb nicht verfügbar,Monitoring ist seit 20 Minuten nicht verfügbar. Vertrieb kann sich nicht anmelden und Anmeldung nicht ausführen.,hoch
TKT-0126,Verbesserung für Citrix,"Es handelt sich um eine Verbesserung an Citrix. Der aktuelle Prozess funktioniert, wir möchten ihn lediglich etwas benutzerfreundlicher gestalten.",niedrig
TKT-0117,Optimierung von Netzlaufwerk,Dieses Ticket betrifft eine Optimierung von Netzlaufwerk im Bereich Lizenzmodell. Das Thema ist nachrangig und nicht kritisch.,niedrig
TKT-0188,Komfort-Anpassung in ERP,"Gewünscht ist eine kleine Komfort-Anpassung in ERP, zum Beispiel Dark Mode. Das ist nur ein Nice-to-have ohne operative Auswirkungen.",niedrig
TKT-0105,Optional: Export nach Excel für Drucker,"Die Funktion Export nach Excel wäre optional für Logistik. Falls Kapazität vorhanden ist, kann das Thema aufgenommen werden; andernfalls auch zu einem späteren Zeitpunkt.",niedrig
TKT-0155,Optional: neue Berechtigung für ERP,"Die Funktion neue Berechtigung wäre optional für Finanzen. Falls Kapazität vorhanden ist, kann das Thema aufgenommen werden; andernfalls auch zu einem späteren Zeitpunkt.",niedrig
TKT-0165,Optional: Dashboard-Filter für CRM,"Die Funktion Dashboard-Filter wäre optional für Produktion. Falls Kapazität vorhanden ist, kann das Thema aufgenommen werden; andernfalls auch zu einem späteren Zeitpunkt.",niedrig
TKT-0112,Wunsch: Export nach Excel in CRM,"Für Management besteht der Wunsch, in CRM Export nach Excel einzurichten. Das ist eine reine Erweiterung ohne Auswirkung auf den laufenden Betrieb.",niedrig
TKT-0023,Sofort prüfen: Ticketsystem verhindert Anmeldung,Bitte sofort eingreifen. Ticketsystem verhindert aktuell Anmeldung; die Mitarbeitenden aus Support melden durchgehend Fehlermeldungen und können ihre Arbeit nicht fortsetzen.,hoch
TKT-0043,Sofort prüfen: Netzlaufwerk verhindert Rechnungsstellung,Bitte sofort eingreifen. Netzlaufwerk verhindert aktuell Rechnungsstellung; die Mitarbeitenden aus HR melden durchgehend Fehlermeldungen und können ihre Arbeit nicht fortsetzen.,hoch
TKT-0099,Sicherheitsvorfall in Ticketsystem,Es besteht der Verdacht auf einen Sicherheitsvorfall in Ticketsystem. Ungewöhnliche Aktivitäten wurden erkannt; bitte sofort prüfen und priorisiert behandeln.,hoch
TKT-0109,Empfehlung zur Nutzung von Monitoring,"Wir bitten um eine Empfehlung zur Nutzung von Monitoring im Zusammenhang mit Passwortrichtlinie. Kein Ausfall, keine Einschränkung, nur Beratungsbedarf.",niedrig
TKT-0133,Information zu Aufbewahrungsfristen in Drucker,Wir benötigen lediglich eine Information zu Aufbewahrungsfristen in Drucker. Es liegt keine Störung vor; die Bearbeitung kann später erfolgen.,niedrig
TKT-0092,Dringend: Intranet muss umgehend geprüft werden,"Bitte dringend bearbeiten. Intranet zeigt Synchronisationsfehler, wodurch Finanzen aktuell nicht produktiv arbeiten kann. Eine schnelle Wiederherstellung ist erforderlich.",hoch
TKT-0194,Später umsetzen: Signaturvorlage in Netzlaufwerk,"Die Anpassung Signaturvorlage in Netzlaufwerk wäre hilfreich, ist aber klar für später vorgesehen. Es gibt keine Blockade und keinen Zeitdruck.",niedrig
TKT-0052,Dringend: Backup-System muss umgehend geprüft werden,"Bitte dringend bearbeiten. Backup-System zeigt Zugriffsprobleme, wodurch Support aktuell nicht produktiv arbeiten kann. Eine schnelle Wiederherstellung ist erforderlich.",hoch
TKT-0154,Später umsetzen: zusätzlicher Report in E-Mail,"Die Anpassung zusätzlicher Report in E-Mail wäre hilfreich, ist aber klar für später vorgesehen. Es gibt keine Blockade und keinen Zeitdruck.",niedrig
TKT-0095,Störung bei Drucker im Außendienst,Wir haben eine anhaltende Störung in Drucker. Seit Schichtbeginn kommt es zu Serverfehler; der Ablauf in Finanzen ist stark eingeschränkt.,hoch
TKT-0036,Microsoft Teams ist für Support nicht verfügbar,Microsoft Teams ist seit Schichtbeginn nicht verfügbar. Support kann sich nicht anmelden und Schichtplanung nicht ausführen.,hoch
TKT-0004,Ausfall von Ticketsystem im Standort München,"Es liegt ein kompletter Ausfall von Ticketsystem vor. Seit Schichtbeginn ist der Dienst im Standort München nicht erreichbar, wodurch Datenexport nicht mehr möglich ist.",hoch
TKT-0137,Optimierung von WLAN,Dieses Ticket betrifft eine Optimierung von WLAN im Bereich Meeting-Aufzeichnung. Das Thema ist nachrangig und nicht kritisch.,niedrig
TKT-0089,Sicherheitsvorfall in Active Directory,Es besteht der Verdacht auf einen Sicherheitsvorfall in Active Directory. Ungewöhnliche Aktivitäten wurden erkannt; bitte sofort prüfen und priorisiert behandeln.,hoch
TKT-0057,Blockiert: Zugriff auf Firewall für Finanzen,Mehrere Konten sind blockiert und der Zugriff auf Firewall ist nicht möglich. Finanzen ist dadurch vollständig blockiert.,hoch
